stórt,1,1,5000,4
lítið,2,1,3000,1
svíta,3,1,8000,3
stórt,4,2,6000,3
lítið,5,2,4000,1
svíta,6,2,10000,3
stórt,7,3,4000,3
lítið,8,3,3000,1
svíta,9,3,6000,2
stórt,10,4,10000,4
lítið,11,4,6000,2
svíta,12,4,15000,3
stórt,13,5,7000,4
lítið,14,5,5000,1
svíta,15,5,10000,2
stórt,16,6,7000,4
lítið,17,6,5000,1
svíta,18,6,10000,2
stórt,19,7,7000,4
lítið,20,7,5000,1
svíta,21,7,10000,2
stórt,22,8,7000,4
lítið,23,8,5000,1
svíta,24,8,10000,2
stórt,25,9,7000,4
lítið,26,9,5000,1
svíta,27,9,10000,2
stórt,28,10,7000,3
lítið,29,10,5000,1
svíta,30,10,10000,2
